"AITool"
"ChatGPT"
NA
"Bard"
"SciteAI"
"BingAI"
"Xx"
"DeepL"
"DeppGPT(Postillon)"
"ChatGPT&Jasper"
"GPT"
"character.ai"
"GitHub"
"Pi.ai"
"Copilot"
"Phind"
"Midjourney"
"You.com"
"CiSA(WebsiteAugsburg.de)"
"SnapchatAI"
"NotionAI"
"Perplexity"
"bingai"
"YouBot"
"Quillbot"
"Bing"
"GrammarlyAI"
"Nova"
"Codeium"
"RizzGPT"
"LLaMA"
"WordtuneAI"
"Cody"
"Consensus"
"ChatSonic"
"HuggingChat"
"Claude2"
"GithubCopilotX"
"QuoraPoe"
"SciSpace"
"Humata"
"Kiko"
"GammaAI"
"Natif.ai"
"ZeroGPT"
"DeepAI"
"Slidesgo"
"AIDungeon"
"ChatSpot"
"SCITEAI"
"AIVideoGenerator"
"BARD"
"DeeLWrite"
"not"
"ResearchGPT"
"CanvaFotoEditor"
"connectedpapers.com"
"6760"
"notapplicabble"
"6991"
"Whisper"
"ResearchGate"
"Replika"
"SciSpaceAI"
"chatgut"
"ConsensusAI"
"ResearchAI"
"askyourpdf(ChatGPTbased)"
